"VOIE","Caisson1","Caisson2","Caisson3","Caisson4"
"490",100,"0","0","0"
"512",100,"0","0","0"
"629-pc",100,"0","0","0"
"502",100,"0","0","0"
"530",100,"0","0","100"
"520",100,"0","0","0"
"544 - lime",100,"0","0","0"
"480",100,"0","0","0"
"3000K-IRC=83",0,"0","0","0"
"450",100,"0","0","0"
"3000K-IRC=98",0,"0","0","0"
"4000K-IRC=97",0,"0","0","0"
"5600K-IRC=83",0,"0","0","0"
"403",100,"0","0","0"
"440",100,"0","0","0"
"405",100,"0","0","0"
"6500K-IRC=97",0,0,0,0
"425",0,0,0,0
"410",0,"0","0","0"
"470",100,"0","0","0"
"4000K-IRC=82",100,"0","0","0"
"390",100,"0","0","0"
"2700K-IRC=98",100,"0","0","0"
"5000K-IRC=99",100,"0","0","0"
"590",0,0,0,0
"605",0,"0","0","0"
"655",100,"0","0","0"
"660",0,0,0,0
"730",100,"0","0","0"
"680",100,"0","0","0"
"620",0,0,0,0
"630",0,0,0,0
